# kT, E(K), C(K), C(K)_error
9.999999999999982236e-01,-4.739456000000000131e+03,5.968322559893152884e-02,8.420677185417911603e-02
1.099999999999998312e+00,-4.720712000000000444e+03,9.864629950282033377e-02,1.392778771323866793e-01
1.199999999999998401e+00,-4.696247999999999593e+03,1.147295822234206397e-01,1.620238857145353539e-01
1.299999999999998490e+00,-4.667239999999999782e+03,1.322637633141684477e-01,1.864864857024713940e-01
1.399999999999998579e+00,-4.616847999999999956e+03,2.145405910202135280e-01,3.037780747050207175e-01
1.499999999999998668e+00,-4.577967999999999847e+03,2.018700401782993203e-01,2.844083069665746533e-01
1.599999999999998757e+00,-4.503631999999999607e+03,3.083188400004296947e-01,4.355541308580768156e-01
1.699999999999998845e+00,-4.418039999999999964e+03,4.076199861592699203e-01,5.742134778309639920e-01
1.799999999999998934e+00,-4.329408000000000357e+03,4.466095723455523747e-01,6.290533087558171088e-01
1.899999999999999023e+00,-4.170176000000000386e+03,5.522864292516608264e-01,7.790983161168563154e-01
1.999999999999999112e+00,-4.022431999999999789e+03,8.708453376002617263e-01,1.226101003536650413e+00
2.099999999999999201e+00,-3.762552000000000135e+03,8.390399361450797677e-01,1.184822354044248405e+00
2.199999999999999289e+00,-3.484119999999999891e+03,1.195532033057837840e+00,1.690927667490045083e+00
2.299999999999999378e+00,-3.211775999999999840e+03,1.145569589716613601e+00,1.620377688520388659e+00
2.399999999999999467e+00,-2.962639999999999873e+03,9.682982222223659452e-01,1.370336219131432998e+00
2.499999999999999556e+00,-2.740056000000000040e+03,8.495245352959635010e-01,1.200805328449872755e+00
2.599999999999999645e+00,-2.556423999999999978e+03,6.668598949112352070e-01,9.460254210258215446e-01
2.699999999999999734e+00,-2.397903999999999996e+03,5.878636369821508278e-01,8.303589541722422585e-01
2.799999999999999822e+00,-2.261159999999999854e+03,4.991721632653772223e-01,7.056098453094504785e-01
2.899999999999999911e+00,-2.135152000000000044e+03,4.756022304874998885e-01,6.701629717204501402e-01
3.000000000000000000e+00,-2.029367999999999938e+03,3.680889144888975784e-01,5.202272255846736027e-01
