# Time, Displacement
0.000000000000000000e+00,1.414213562373093591e+00
1.000000000000000000e+00,1.811077027627483904e+00
2.000000000000000000e+00,2.236067977499788917e+00
3.000000000000000000e+00,2.340939982143924514e+00
4.000000000000000000e+00,2.683281572999746345e+00
5.000000000000000000e+00,3.046309242345563995e+00
6.000000000000000000e+00,3.492849839314594806e+00
7.000000000000000000e+00,3.671511950137163360e+00
8.000000000000000000e+00,4.049691346263315950e+00
9.000000000000000000e+00,4.390899680020029727e+00
1.000000000000000000e+01,4.837354648979128591e+00
1.100000000000000000e+01,5.047771785649584508e+00
1.200000000000000000e+01,5.440588203494176156e+00
1.300000000000000000e+01,5.768882040742383310e+00
1.400000000000000000e+01,6.212889826803625226e+00
1.500000000000000000e+01,6.440496875241847441e+00
1.600000000000000000e+01,6.841052550594826975e+00
1.700000000000000000e+01,7.161005515987262982e+00
1.800000000000000000e+01,7.602631123499284271e+00
1.900000000000000000e+01,7.840918313565063080e+00
2.000000000000000000e+01,8.246211251235319395e+00
2.100000000000000000e+01,8.560373823613078414e+00
2.200000000000000000e+01,8.999999999999998224e+00
2.300000000000000000e+01,9.245539465060975459e+00
2.400000000000000000e+01,9.654014708917733500e+00
2.500000000000000000e+01,9.963934965664920540e+00
2.600000000000000000e+01,1.040192289915667345e+01
2.700000000000000000e+01,1.065269918846862041e+01
2.800000000000000000e+01,1.106345334875146591e+01
2.900000000000000000e+01,1.137013632284151932e+01
3.000000000000000000e+01,1.180677771451635216e+01
3.100000000000000000e+01,1.206150902665167912e+01
3.200000000000000000e+01,1.247397290361014299e+01
3.300000000000000000e+01,1.277810627597063409e+01
3.400000000000000000e+01,1.321362932732714235e+01
3.500000000000000000e+01,1.347145129523912743e+01
3.600000000000000000e+01,1.388524396616782752e+01
3.700000000000000000e+01,1.418731828077456214e+01
3.800000000000000000e+01,1.462190138114739035e+01
3.900000000000000000e+01,1.488220413782850748e+01
4.000000000000000000e+01,1.529705854077835703e+01
4.100000000000000000e+01,1.559743568667619407e+01
4.200000000000000000e+01,1.603121954188139497e+01
4.300000000000000000e+01,1.629355700883020575e+01
4.400000000000000000e+01,1.670927885936434265e+01
4.500000000000000000e+01,1.700823330037544068e+01
4.600000000000000000e+01,1.744133022449835835e+01
4.700000000000000000e+01,1.770536641812306300e+01
4.800000000000000000e+01,1.812181006411887196e+01
4.900000000000000000e+01,1.841955482632520358e+01
5.000000000000000000e+01,1.885205559083677329e+01
5.100000000000000000e+01,1.911753122136851246e+01
5.200000000000000000e+01,1.953458471531964946e+01
5.300000000000000000e+01,1.983128840998486453e+01
5.400000000000000000e+01,2.026326725876160140e+01
5.500000000000000000e+01,2.052997808084557718e+01
5.600000000000000000e+01,2.094755355644186068e+01
5.700000000000000000e+01,2.124335190124195094e+01
5.800000000000000000e+01,2.167487024182613098e+01
5.900000000000000000e+01,2.194265252880790484e+01
6.000000000000000000e+01,2.236067977499789805e+01
6.100000000000000000e+01,2.265568361361007632e+01
6.200000000000000000e+01,2.308679276123039159e+01
6.300000000000000000e+01,2.335551326774900716e+01
6.400000000000000000e+01,2.377393530739074023e+01
6.500000000000000000e+01,2.406823632923692813e+01
6.600000000000000000e+01,2.449897957058619724e+01
6.700000000000000000e+01,2.476852841813578010e+01
6.800000000000000000e+01,2.518729838628986784e+01
6.900000000000000000e+01,2.548097329381278087e+01
7.000000000000000000e+01,2.591138745802701848e+01
7.100000000000000000e+01,2.618167297939533711e+01
7.200000000000000000e+01,2.660075186907317857e+01
7.300000000000000000e+01,2.689386547151599416e+01
7.400000000000000000e+01,2.732398214023717031e+01
7.500000000000000000e+01,2.759492707002502243e+01
7.600000000000000000e+01,2.801428207182900465e+01
7.700000000000000000e+01,2.830688962072661496e+01
7.800000000000000000e+01,2.873673607075097181e+01
7.900000000000000000e+01,2.900827468154560762e+01
8.000000000000000000e+01,2.942787793912432193e+01
8.100000000000000000e+01,2.972002691788821593e+01
8.200000000000000000e+01,3.014962686336266984e+01
8.300000000000000000e+01,3.042170277943034051e+01
8.400000000000000000e+01,3.084153044192197868e+01
8.500000000000000000e+01,3.113326195566407861e+01
8.600000000000000000e+01,3.156263613832025783e+01
8.700000000000000000e+01,3.183520064331305477e+01
8.800000000000000000e+01,3.225523213371747033e+01
8.900000000000000000e+01,3.254658200180166716e+01
9.000000000000000000e+01,3.297574866473845390e+01
9.100000000000000000e+01,3.324875937535113479e+01
9.200000000000000000e+01,3.366897681843034462e+01
9.300000000000000000e+01,2.751872090050698816e+01
9.400000000000000000e+01,2.397081558896150355e+01
9.500000000000000000e+01,1.474720312466061856e+01
9.600000000000000000e+01,6.228964600958975417e+00
9.700000000000000000e+01,5.939696961966998145e+00
9.800000000000000000e+01,1.489295135290517003e+01
9.900000000000000000e+01,1.474720312466061856e+01
