# p(s->i), avg_no_infections, inf_variance, variance_errors
2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000200e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000289e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000377e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000466e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000555e-01,9.760000000000001422e-06,1.246418559999999827e-04,3.132999435283795417e-05
2.600000000000000644e-01,1.195999999999999899e-05,2.603223959999999954e-04,7.889918723945608156e-05
2.700000000000000733e-01,1.615999999999999774e-05,2.753471360000000036e-04,6.980548942798174431e-05
2.800000000000000822e-01,6.036000000000000485e-05,2.211091675999999999e-03,3.955332602649587774e-04
2.900000000000000910e-01,3.268800000000000416e-04,1.281799366399999883e-02,1.054860988128445516e-03
3.000000000000000999e-01,3.765120000000000272e-03,2.356709584639999910e-01,6.555017999146877002e-03
3.100000000000001088e-01,1.304655999999999871e-02,1.425473620416000120e+00,2.642610701401537296e-02
3.200000000000001177e-01,7.405048000000000186e-02,9.244129894240002976e-01,1.294835388473115911e-02
3.300000000000001266e-01,9.901767999999999681e-02,7.020185785440029580e-01,9.018569434929738643e-03
3.400000000000001354e-01,1.171273200000000070e-01,6.770621140439994079e-01,9.231687268336428304e-03
3.500000000000001443e-01,1.345477999999999952e-01,7.023760678999940721e-01,9.350541204574770726e-03
3.600000000000001532e-01,1.484424799999999878e-01,5.481278086240054526e-01,7.442141690537595194e-03
3.700000000000001621e-01,1.605333999999999928e-01,5.149843510999926322e-01,7.378275627936214422e-03
3.800000000000001710e-01,1.705404399999999876e-01,5.454537715160171496e-01,7.840274100431776985e-03
3.900000000000001799e-01,1.809753600000000018e-01,4.969673621759982951e-01,7.071634020733909634e-03
4.000000000000001887e-01,1.894914399999999832e-01,5.091953368160174742e-01,7.253719964044540863e-03
4.100000000000001976e-01,1.984746799999999867e-01,4.977025772440130669e-01,7.100978117207334094e-03
4.200000000000002065e-01,2.068790399999999863e-01,4.753476616960018997e-01,6.651316549135986682e-03
4.300000000000002154e-01,2.139447599999999838e-01,4.636404113559983720e-01,6.609464267514824319e-03
4.400000000000002243e-01,2.208248000000000155e-01,4.674732623999938164e-01,6.735015354815024162e-03
4.500000000000002331e-01,2.274494000000000238e-01,4.379130990999983708e-01,5.854291292915001464e-03
4.600000000000002420e-01,2.333106799999999925e-01,4.473311748439911528e-01,6.141353985908803818e-03
4.700000000000002509e-01,2.393264400000000014e-01,4.455127123159822178e-01,6.588303174250170063e-03
4.800000000000002598e-01,2.444353999999999694e-01,4.444018671000376508e-01,6.411097213765131614e-03
4.900000000000002687e-01,2.499235999999999958e-01,4.196126076000277205e-01,5.831086024004760067e-03
5.000000000000002220e-01,2.546375599999999850e-01,4.490908731160219713e-01,6.087734403324059074e-03
