# Distance, Potential
0.000000000000000000e+00,7.331211975681496407e-01
1.000000000000000000e+00,4.831705429757371384e-01
2.000000000000000000e+00,3.700463460393171311e-01
3.000000000000000000e+00,3.036036007635947720e-01
4.000000000000000000e+00,2.575452687781852323e-01
5.000000000000000000e+00,2.224769283602504311e-01
6.000000000000000000e+00,1.942791967101257511e-01
7.000000000000000000e+00,1.708113625418414827e-01
8.000000000000000000e+00,1.508132742673711502e-01
9.000000000000000000e+00,1.334742398492531901e-01
1.000000000000000000e+01,1.182376130562500099e-01
1.100000000000000000e+01,1.047015396635619794e-01
1.200000000000000000e+01,9.256398443401879506e-02
1.300000000000000000e+01,8.159019218427911169e-02
1.400000000000000000e+01,7.159238858774812087e-02
1.500000000000000000e+01,6.241655837477633195e-02
1.600000000000000000e+01,5.393351065578300130e-02
1.700000000000000000e+01,4.603264131276842835e-02
1.800000000000000000e+01,3.861744556504907722e-02
1.900000000000000000e+01,3.160219524776200495e-02
2.000000000000000000e+01,2.490940653953437403e-02
2.100000000000000000e+01,1.846785141439480013e-02
2.200000000000000000e+01,1.221094506521683797e-02
2.300000000000000000e+01,6.075391364538932325e-03
2.400000000000000000e+01,0.000000000000000000e+00
