# omega, no_iterations
1.000000000000000000e+00,2.470000000000000000e+02
1.010101010101010166e+00,2.450000000000000000e+02
1.020202020202020110e+00,2.430000000000000000e+02
1.030303030303030276e+00,2.420000000000000000e+02
1.040404040404040442e+00,2.400000000000000000e+02
1.050505050505050608e+00,2.380000000000000000e+02
1.060606060606060552e+00,2.370000000000000000e+02
1.070707070707070718e+00,2.350000000000000000e+02
1.080808080808080884e+00,2.330000000000000000e+02
1.090909090909090828e+00,2.320000000000000000e+02
1.101010101010100994e+00,2.300000000000000000e+02
1.111111111111111160e+00,2.280000000000000000e+02
1.121212121212121104e+00,2.270000000000000000e+02
1.131313131313131271e+00,2.250000000000000000e+02
1.141414141414141437e+00,2.230000000000000000e+02
1.151515151515151603e+00,2.220000000000000000e+02
1.161616161616161547e+00,2.200000000000000000e+02
1.171717171717171713e+00,2.180000000000000000e+02
1.181818181818181879e+00,2.170000000000000000e+02
1.191919191919192045e+00,2.150000000000000000e+02
1.202020202020201989e+00,2.130000000000000000e+02
1.212121212121212155e+00,2.120000000000000000e+02
1.222222222222222321e+00,2.100000000000000000e+02
1.232323232323232265e+00,2.080000000000000000e+02
1.242424242424242431e+00,2.060000000000000000e+02
1.252525252525252597e+00,2.050000000000000000e+02
1.262626262626262541e+00,2.030000000000000000e+02
1.272727272727272707e+00,2.010000000000000000e+02
1.282828282828282873e+00,1.990000000000000000e+02
1.292929292929292817e+00,1.980000000000000000e+02
1.303030303030302983e+00,1.960000000000000000e+02
1.313131313131313149e+00,1.940000000000000000e+02
1.323232323232323315e+00,1.920000000000000000e+02
1.333333333333333481e+00,1.900000000000000000e+02
1.343434343434343425e+00,1.890000000000000000e+02
1.353535353535353591e+00,1.870000000000000000e+02
1.363636363636363757e+00,1.850000000000000000e+02
1.373737373737373701e+00,1.830000000000000000e+02
1.383838383838383868e+00,1.810000000000000000e+02
1.393939393939394034e+00,1.790000000000000000e+02
1.404040404040403978e+00,1.770000000000000000e+02
1.414141414141414144e+00,1.750000000000000000e+02
1.424242424242424310e+00,1.730000000000000000e+02
1.434343434343434254e+00,1.710000000000000000e+02
1.444444444444444420e+00,1.690000000000000000e+02
1.454545454545454586e+00,1.670000000000000000e+02
1.464646464646464752e+00,1.650000000000000000e+02
1.474747474747474918e+00,1.630000000000000000e+02
1.484848484848484862e+00,1.610000000000000000e+02
1.494949494949495028e+00,1.590000000000000000e+02
1.505050505050505194e+00,1.570000000000000000e+02
1.515151515151515138e+00,1.550000000000000000e+02
1.525252525252525304e+00,1.530000000000000000e+02
1.535353535353535470e+00,1.510000000000000000e+02
1.545454545454545414e+00,1.480000000000000000e+02
1.555555555555555580e+00,1.460000000000000000e+02
1.565656565656565746e+00,1.440000000000000000e+02
1.575757575757575690e+00,1.420000000000000000e+02
1.585858585858585856e+00,1.390000000000000000e+02
1.595959595959596022e+00,1.370000000000000000e+02
1.606060606060605966e+00,1.350000000000000000e+02
1.616161616161616355e+00,1.320000000000000000e+02
1.626262626262626299e+00,1.300000000000000000e+02
1.636363636363636465e+00,1.270000000000000000e+02
1.646464646464646631e+00,1.250000000000000000e+02
1.656565656565656575e+00,1.230000000000000000e+02
1.666666666666666741e+00,1.200000000000000000e+02
1.676767676767676907e+00,1.180000000000000000e+02
1.686868686868686851e+00,1.150000000000000000e+02
1.696969696969697017e+00,1.120000000000000000e+02
1.707070707070707183e+00,1.100000000000000000e+02
1.717171717171717127e+00,1.070000000000000000e+02
1.727272727272727293e+00,1.040000000000000000e+02
1.737373737373737459e+00,1.020000000000000000e+02
1.747474747474747403e+00,9.900000000000000000e+01
1.757575757575757791e+00,9.600000000000000000e+01
1.767676767676767735e+00,9.300000000000000000e+01
1.777777777777777679e+00,9.000000000000000000e+01
1.787878787878788067e+00,8.700000000000000000e+01
1.797979797979798011e+00,8.400000000000000000e+01
1.808080808080808177e+00,8.100000000000000000e+01
1.818181818181818343e+00,7.800000000000000000e+01
1.828282828282828287e+00,7.600000000000000000e+01
1.838383838383838453e+00,7.800000000000000000e+01
1.848484848484848619e+00,7.900000000000000000e+01
1.858585858585858563e+00,8.100000000000000000e+01
1.868686868686868729e+00,8.200000000000000000e+01
1.878787878787878896e+00,8.300000000000000000e+01
1.888888888888888840e+00,8.800000000000000000e+01
1.898989898989899228e+00,8.900000000000000000e+01
1.909090909090909172e+00,9.600000000000000000e+01
1.919191919191919116e+00,1.040000000000000000e+02
1.929292929292929504e+00,1.140000000000000000e+02
1.939393939393939448e+00,1.330000000000000000e+02
1.949494949494949614e+00,1.550000000000000000e+02
1.959595959595959780e+00,1.810000000000000000e+02
1.969696969696969724e+00,2.350000000000000000e+02
1.979797979797979890e+00,3.380000000000000000e+02
1.989898989898990056e+00,6.760000000000000000e+02
2.000000000000000000e+00,1.000000000000000000e+04
